titulo,artistas,album,url
El Dicharachero (Remastered),Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=F5QxLVCWDBM
"Llorar, Llorar (Remastered)",Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=LCokvwbRPBU
Mira Luisa (Remastered),Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=22f_j8QKUvE
La Mancornadora (Remastered),Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=ouPacPKFQjU
Valentín de la Sierra (Remastered),Antonio Aguilar,Leyendas del Campo (Remastered),https://music.youtube.com/watch?v=_EpfIXMCYy4
El Aventurero,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=Xk9rCO4vcEs
Prisionero De Tus Brazos,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=3Xmonyaeg40
La Media Vuelta,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=oMm0jVJdx-s
El Ultimo Trago,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=W0eFkgX2DwI
Gabino Barrera,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=a2CcumwhIw0
Te Traigo En Mi Cartera,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=7PaeVJ_Cezw
Tu Camino Y El Mío,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=tcQaOaoemQ0
No Volveré,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=1B7QQeuSUV0
Hace Un Año,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=SJJh2f49NPA
Tu Solo Tu,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=JMeSuEVLUlM
Se Me Hizo Facil,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=L2QUcobRVfc
Caballo Prieto Azabache,Antonio Aguilar,La Leyenda del Charro de México,https://music.youtube.com/watch?v=brHRIAK9A64
Alta y Delgadita,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=Y-bgbCBBdfQ
Día Venturoso,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=KYiAfCU1V90
Carta Jugada,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=Jr9T6Yih4SY
Noches Eternas,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=SdRsfmBwGLs
Si No Me Quieres No Me Martirices,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=j2ViRyf9MG4
China de los Ojos Negros,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=c7u6QtQYfWU
Caballo Prieto Afamado,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=eN20Cku8rbc
Las Mañanitas,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=7bxZheLkXDs
Mi Lupita,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=D1hvUcApXrg
Palomas que Andan Volando,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=2Dj6srkeaqw
El Alazán y el Rocío,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=IHXg_r0CoUc
La Canelera,Antonio Aguilar,A Grito Abierto,https://music.youtube.com/watch?v=2Vl5jAvGU6k
Alma de Acero,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=sHYeyvuCRjk
El Hijo Desobediente,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=q4vLDz4pmxc
La Media Vuelta,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=IgjJmVEo8Os
Triste Recuerdo,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=MOx47MEs-8Q
Laguna de Pesares,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=80scRgI_7WE
Anillo Grabado,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=fXQdBbHg8kM
Ay Chabela,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=EQK39VTHxc4
La Elisa,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=WzmH2G0IzXA
Gabino Barrera,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=uci_eSBfyx8
Un Puño de Tierra,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=jgdwZ071bds
El Quelite,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=nrmvuyVp5Uk
Que Me Entierren Con la Banda,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=Fi2BBrb-hZQ
Caballo Prieto Azabache,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=brHRIAK9A64
La Chancla,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=fW0Mj5_WizU
Nadie Es Eterno,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=IgpkYZu5EvI
Bandido De Amores,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=83Tvr3Od818
Busca Otro Amor,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=zTwBR2VJIt8
El Chivo,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=EDC2H9c8fFk
El Moro De Cumpas,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=fwETN8HBvGw
La Paloma Triste,Antonio Aguilar,Alma de Acero,https://music.youtube.com/watch?v=eF9iK2oyH7A
El Cantador,Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=7NSQkThb-yI
El Patas Blancas,Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=ae2n4ee3H-M
Caballo Alazán Lucero,Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=lkGXhSV412A
Adiós al As de Oros,Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=VMNtS8MfoU0
Caballo Prieto Azabache,Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=brHRIAK9A64
El Siete Leguas,Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=1iTIj8NpSYM
El Caballo Bayo,Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=_vYosRUji0c
El Grano de Oro,Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=5EdgHbpfj7E
El Alazán y el Rocío,Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=IHXg_r0CoUc
El Potro Lobo Gateado (La Yegua Colorada),Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=5-T7KVmVSOo
El Caballo Blanco,Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=1ZDk3tc3Mk4
Caballo Prieto Afamado,Antonio Aguilar,Corridos de Caballos Famosos,https://music.youtube.com/watch?v=eN20Cku8rbc
Copitas copitas,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=3-L3AgszcEE
El alazán y el rocío,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=IHXg_r0CoUc
A boca de jarro,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=m0Vr8e6Iqa8
Si no me quieres no me martirices,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=j2ViRyf9MG4
Estoy contigo,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=C7FaD00OKqQ
Yo el aventurero,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=Xk9rCO4vcEs
Laguna de pesares,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=5SlsaX2Vgjk
Alta y delgadita,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=Y-bgbCBBdfQ
El chivo,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=EDC2H9c8fFk
La Elisa,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=vNVUOojGH38
Ojitos verdes,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=yVqFYHkazVc
La muerte,Antonio Aguilar,Yo El Aventurero,https://music.youtube.com/watch?v=KCc99GXq224
El Patas Blancas,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=ae2n4ee3H-M
